Screen Name,Word,Hypernim[1],Hypernim[2],Hypernim[3],Hypernim[4],Hypernim[5],Hypernim[6],Hypernim[7],Hypernim[8],Hypernim[9],Hypernim[10],Hypernim[11],Hypernim[12],Hypernim[13],Hypernim[14],Hypernim[15]
CaptainObviouzs,Gabonese,African,person,"causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
CaptainObviouzs,Jamie,Jamie,Jamie,Jamie,Jamie,Jamie,Jamie,Jamie,Jamie,Jamie,Jamie,Jamie,Jamie,Jamie,Jamie,Jamie
CaptainObviouzs,fucking,"sexual_intercourse
copulate",sexual_activity,bodily_process,organic_process,process,"activity
cognition
writ
cognition
body_part
physical_entity
affect
manage
calculate
challenge
walk
transform
deliver","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait"
CaptainObviouzs,loser,"contestant
unfortunate
gambler","person
person","causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
CaptainObviouzs,go,"shift
methylenedioxymethamphetamine
attempt
board_game
act
exit
change_state
be
be
happen
disappear
be
cause_to_be_perceived
end
change
change_state
be
compare
harmonize
be
fit
search
choose
change","translation
change
hours
change
motion
crack
gang
key
undergarment
dress
change
move
move
move
change
change
substitute
move
move
type
change
switch","written_record
change_of_location
change_of_integrity
transformation
organic_process
paraphrase
motion",record,"evidence
sound_recording
number
accomplishment
fact
attainment
document
list
save
record
indicate
remind","information
indication
information
testify
inform
inform","message
cognition
accusation
collection
information_measure","communication
communication
communicate
communicate
communicate","act
abstraction
connection","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation
CaptainObviouzs,tweets,"chirp
sound
grip","sound
utter
sing","sound_property
sensation
mechanical_phenomenon
happening
auditory_communication
language_unit
channel
body_of_water
look
cause_to_be_perceived
announce
pronounce
quantify",property,"possession
attribute
geographical_area
concept
object","control
relation
enchantment
mania
district
resoluteness
control","power
relation
bodily_process
criterion
activity
condition
discipline
skillfulness
mechanism
spirit
economic_policy
restrain
manipulate
interact
test
see
verify
know","quality
physical_phenomenon
cognition
state
causal_agent
mathematical_notation
strength
state
businessman
provide","attribute
degree
property
sound_property
social_station","concept
abstraction
evaluate
evaluate",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet"
CaptainObviouzs,need,"condition
necessity
psychological_feature
poverty
be","state
premise
state
information
good_health
illness
statement
procedure
teach
develop
contract
better
shampoo","administrative_district
attribute
government
political_unit
chemical_phenomenon
emotional_state
administrative_district
executive_department
express
propose
denote",district,"region
regulate","location
body_part
location
indefinite_quantity
knowledge_domain","object
activity
determination
workplace","physical_entity
goal
constituent
content
computer_science
disapprove
be",entity,entity,entity,entity,entity,entity,entity
CaptainObviouzs,life,"being
experience
being
being
time_period
time_period
time_period
person
animation
living_thing
organic_phenomenon
history
motivation
prison_term","state
living_thing
typify
take
stay
be","administrative_district
attribute
government
political_unit
chemical_phenomenon
emotional_state
administrative_district
executive_department
express
propose
denote",district,"region
regulate","location
body_part
location
indefinite_quantity
knowledge_domain","object
activity
determination
workplace","physical_entity
goal
constituent
content
computer_science
disapprove
be",entity,entity,entity,entity,entity,entity,entity
CaptainObviouzs,mate,"officer
associate
animal
domestic_partner
relative
duplicate
singleton
holly
friend
beverage
chess_move
join
join
beat","serviceman
holder
official
lawman
mariner
command",skilled_worker,worker,"person
commoner
insect
person","causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity
CaptainObviouzs,Send,"move
transmit
transfer
move
move
transfer
transfer
publicize","decision
change
change
change
turn
act
change
cause
affect
sell
change
live
propose","choice
judgment
result
result
resoluteness","decision_making
action
decision_making",higher_cognitive_process,process,"activity
cognition
writ
cognition
body_part
physical_entity
affect
manage
calculate
challenge
walk
transform
deliver","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object"
CaptainObviouzs,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
CaptainObviouzs,learn,"study
inform","examination
learning
document
concentration
room
knowledge_domain
drawing
contemplation
memorizer
musical_composition
chew_over
learn
think","investigation
communication
questioning
introspection
investigation","inquiry
work","problem_solving
questioning
investigation","cognitive_psychology
thinking",psychology,science,"discipline
ability","knowledge_domain
system
trait
training
punishment
develop
punish",content,"collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity"
CaptainObviouzs,defend,"argue
prevent
protect
contend
back
affirm","present
converse
present","time
gift
tense
show
state
re-create
give
constitute
allocate
talk
inform
represent
introduce
greet","case
time_period
time_period
moment
attribute
experience
reading
dimension
rhythmicity
term
quantify
schedule
determine
adjust
adjust","happening
circumstance
proceeding
fact
container
person
person
problem
argument
containerful
grammatical_category
state_of_mind
adult
type
covering
housing
framework
receptacle
bed_linen
container
inspect
enclose","event
happen
chance
happen","psychological_feature
circumstance
physical_phenomenon
phenomenon",abstraction,"concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity"
CaptainObviouzs,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool
CaptainObviouzs,Spurs,"encouragement
projection
plant_process
prod
line
promote
encourage
strike
goad
equip","approval
aid
hope","support
liking
acceptance
message","activity
aid
influence
operation
validation
resource
supporting_structure
activity
part
device
resource
give
approve
agree
match
argue
act
foster
permit","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document
CaptainObviouzs,biggest,biggest,biggest,biggest,biggest,biggest,biggest,biggest,biggest,biggest,biggest,biggest,biggest,biggest,biggest,biggest
CaptainObviouzs,bottle,"vessel
containerful
vessel
store
put","tube
craft
container","conduit
electronic_device
cylinder
structure
railway
supply
bring
ride
envelop",passage,"change_of_state
section
way
legislation
journey
musical_composition
structure
reaction
movement
delivery",change,"happening
relation
action
consequence
cash
thing
clothing
coin
cash
difference
dress
replace
transfer
travel
change
replace","event
happen
chance
happen","psychological_feature
circumstance
physical_phenomenon
phenomenon",abstraction,"concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping"
CaptainObviouzs,job,"activity
duty
workplace
product
duty
work
work
difficulty
unfortunate
application
robbery
cheat
hire
work
invest","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts
CaptainObviouzs,teams,"unit
animal_group
group","definite_quantity
part
organization
whole
thing
object",measure,"maneuver
abstraction
legal_document
activity
system_of_measurement
poetic_rhythm
musical_notation
measuring_instrument
container
decide
carry
be
evaluate","operation
plan_of_action
motion
move
evasion
control
act
move","action
business_activity
activity
data_processing
activity
medical_procedure
work
process
cognition
calculation
activity","act
state
group_action
process
plot
drive
mechanism
proceeding
group_action
work
challenge
complete
effect","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait"
CaptainObviouzs,league,"association
union
linear_unit
unite","organization
social_activity
union
memory
relationship
relation
chemical_process
group","social_group
structure
body
administration
orderliness
activity
beginning",group,"abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy"
CaptainObviouzs,Don,"gentleman
teacher
head
title
dress","man
body_servant
manservant","adult
male
skilled_worker
person
hominid
subordinate
male
body_servant
manservant
lover
male
game_equipment
group
homo
work
staff","person
animal","causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
CaptainObviouzs,want,"poverty
need
necessity
desire
be
search
demand
miss",financial_condition,condition,"state
premise
state
information
good_health
illness
statement
procedure
teach
develop
contract
better
shampoo","administrative_district
attribute
government
political_unit
chemical_phenomenon
emotional_state
administrative_district
executive_department
express
propose
denote",district,"region
regulate","location
body_part
location
indefinite_quantity
knowledge_domain","object
activity
determination
workplace","physical_entity
goal
constituent
content
computer_science
disapprove
be",entity,entity,entity,entity,entity
CaptainObviouzs,manager,"administrator
trainer","head
fiduciary
head","external_body_part
domestic_animal
cognition
leader
formation
pressure
top
beginning
word
point
linear_unit
plant_organ
educator
individual
drug_user
natural_elevation
object
foam
front
juncture
progress
mark
subject
line
structure
structure
coil
obverse
striker
toilet
projection
membrane
perversion
proceed
direct
precede
be
control
originate
lie
form
remove",body_part,part,"relation
object
thing
concern
location
duty
portrayal
assets
concept
line
tune
attempt
move
leave
change
move","abstraction
sexual_activity
person
narration
legal_principle
dealings","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea
CaptainObviouzs,says,"opportunity
express
assert
speculate
have
request
convey
express
recite
read",possibility,"expectation
being
concept
option","belief
hopefulness
feeling
mean","content
idea","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity"
CaptainObviouzs,trophies,"award
award","grant
symbol
gift
allocate
give","aid
allotment
transferred_property
contract
right
give
give
agree
give
give
give","resource
activity
gift
work
support
better","assets
asset
inventiveness","possession
quality","control
relation
enchantment
mania
district
resoluteness
control","power
relation
bodily_process
criterion
activity
condition
discipline
skillfulness
mechanism
spirit
economic_policy
restrain
manipulate
interact
test
see
verify
know","quality
physical_phenomenon
cognition
state
causal_agent
mathematical_notation
strength
state
businessman
provide","attribute
degree
property
sound_property
social_station","concept
abstraction
evaluate
evaluate",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping"
CaptainObviouzs,important,important,important,important,important,important,important,important,important,important,important,important,important,important,important,important
