Screen Name,Word,Hypernim[1],Hypernim[2],Hypernim[3],Hypernim[4],Hypernim[5],Hypernim[6],Hypernim[7],Hypernim[8],Hypernim[9],Hypernim[10],Hypernim[11],Hypernim[12],Hypernim[13],Hypernim[14],Hypernim[15]
CmDineesh,song,"musical_composition
sound
vocal_music
animal_communication
bargain
dynasty",music,"auditory_communication
sound
activity
sound
punishment",communication,"act
abstraction
connection","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document
CmDineesh,amp,"current_unit
nucleotide",electromagnetic_unit,unit_of_measurement,definite_quantity,measure,"maneuver
abstraction
legal_document
activity
system_of_measurement
poetic_rhythm
musical_notation
measuring_instrument
container
decide
carry
be
evaluate","operation
plan_of_action
motion
move
evasion
control
act
move","action
business_activity
activity
data_processing
activity
medical_procedure
work
process
cognition
calculation
activity","act
state
group_action
process
plot
drive
mechanism
proceeding
group_action
work
challenge
complete
effect","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation
CmDineesh,fame,"honor
repute","symbol
standing
righteousness
virtue
recognize
accept
accept","signal
representational_process","communication
incitement
electricity
communicate
tell","act
abstraction
connection","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document
CmDineesh,How,How,How,How,How,How,How,How,How,How,How,How,How,How,How,How
CmDineesh,many,many,many,many,many,many,many,many,many,many,many,many,many,many,many,many
CmDineesh,Addicted,habituate,"consume
change","eat
spend
destroy
spend
absorb","consume
eat
consume
consume
worry
spend
damage","eat
spend
destroy
spend
absorb","consume
eat
consume
consume
worry
spend
damage","eat
spend
destroy
spend
absorb","consume
eat
consume
consume
worry
spend
damage","eat
spend
destroy
spend
absorb","consume
eat
consume
consume
worry
spend
damage","eat
spend
destroy
spend
absorb","consume
eat
consume
consume
worry
spend
damage","eat
spend
destroy
spend
absorb","consume
eat
consume
consume
worry
spend
damage","eat
spend
destroy
spend
absorb"
CmDineesh,scenes,"area
incident
visual_percept
photograph
situation
dramatic_composition
bad_temper
graphic_art
environment
stage_set","region
topic
body_part
environment
structure
extent","location
body_part
location
indefinite_quantity
knowledge_domain","object
activity
determination
workplace","physical_entity
goal
constituent
content
computer_science
disapprove
be",entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
CmDineesh,Unseen,belief,"content
idea","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy"
CmDineesh,Rare,Rare,Rare,Rare,Rare,Rare,Rare,Rare,Rare,Rare,Rare,Rare,Rare,Rare,Rare,Rare
CmDineesh,Still,"photograph
silence
apparatus
plant
comfort
suppress
comfort
change","representation
record","content
creation
cooperation
state
body
statement
performance
statement
right
activity","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune"
