Screen Name,Word,Hypernim[1],Hypernim[2],Hypernim[3],Hypernim[4],Hypernim[5],Hypernim[6],Hypernim[7],Hypernim[8],Hypernim[9],Hypernim[10],Hypernim[11],Hypernim[12],Hypernim[13],Hypernim[14],Hypernim[15]
Sniper_Shoots,Sniped,"hunt
blast
knock
cut
thin_out","club
search
activity
labor
blood_sport
outdoor_sport
capture
chase
rout_out
yaw
oscillate
search
search","baseball_team
association
stick
building
golf_equipment
playing_card
spot
unite
meet
hit
gather",team,"unit
animal_group
group","definite_quantity
part
organization
whole
thing
object",measure,"maneuver
abstraction
legal_document
activity
system_of_measurement
poetic_rhythm
musical_notation
measuring_instrument
container
decide
carry
be
evaluate","operation
plan_of_action
motion
move
evasion
control
act
move","action
business_activity
activity
data_processing
activity
medical_procedure
work
process
cognition
calculation
activity","act
state
group_action
process
plot
drive
mechanism
proceeding
group_action
work
challenge
complete
effect","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act"
Sniper_Shoots,Official,"skilled_worker
adjudicator",worker,"person
commoner
insect
person","causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
Sniper_Shoots,Here,location,"object
activity
determination
workplace","physical_entity
goal
constituent
content
computer_science
disapprove
be",entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
Sniper_Shoots,Official,"skilled_worker
adjudicator",worker,"person
commoner
insect
person","causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
Sniper_Shoots,Yeah,Yeah,Yeah,Yeah,Yeah,Yeah,Yeah,Yeah,Yeah,Yeah,Yeah,Yeah,Yeah,Yeah,Yeah,Yeah
Sniper_Shoots,sure,sure,sure,sure,sure,sure,sure,sure,sure,sure,sure,sure,sure,sure,sure,sure
Sniper_Shoots,let,"serve
induce
accept
make
leave
give","tennis_stroke
suffice
work
effect
function
provide
provide
work
foster
spend
help
deliver
satisfy
work
copulate
move",stroke,"maneuver
movement
attack
touch
touch
score
oarsman
happening
punctuation
mark
locomotion
motion
touch
strike
row
flatter","operation
plan_of_action
motion
move
evasion
control
act
move","action
business_activity
activity
data_processing
activity
medical_procedure
work
process
cognition
calculation
activity","act
state
group_action
process
plot
drive
mechanism
proceeding
group_action
work
challenge
complete
effect","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait"
Sniper_Shoots,get,"return
change_state
make
change
transmit
undergo
get_even
score
seize
change
sicken
communicate
change
mean
understand
attract
hit
get
buy
hear
hurt
leave
catch
annoy
touch
reproduce
effect
destroy
confuse
experience
make","legal_document
arrival
turning
acquisition
motion
income
repeat
reply
key
group_action
tennis_stroke
run
appearance
travel
give
change_by_reversal
denote
bring
reciprocate
transport
answer
reappear
pay
communicate
elect
change_hands
return
produce
submit",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation
Sniper_Shoots,link,"linkage
fastener
union
shape
linear_unit
instruction
channel
communication_system
circuit
think
attach","connection
inheritance
mechanical_system
fastening","relation
union
instrumentality
acquaintance
memory
shape
supplier
transportation
change_of_integrity","abstraction
sexual_activity
person
narration
legal_principle
dealings","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping"
Sniper_Shoots,followers,"multitude
person
traveler","large_indefinite_quantity
gathering
group",indefinite_quantity,measure,"maneuver
abstraction
legal_document
activity
system_of_measurement
poetic_rhythm
musical_notation
measuring_instrument
container
decide
carry
be
evaluate","operation
plan_of_action
motion
move
evasion
control
act
move","action
business_activity
activity
data_processing
activity
medical_procedure
work
process
cognition
calculation
activity","act
state
group_action
process
plot
drive
mechanism
proceeding
group_action
work
challenge
complete
effect","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object"
Sniper_Shoots,amazing,"surprise
confuse","astonishment
change
disruption
affect
act
attack",feeling,"state
idea
atmosphere
somesthesia
perception
intuition
reason
perceive
be
think
experience
look
search
touch
find
look
touch","administrative_district
attribute
government
political_unit
chemical_phenomenon
emotional_state
administrative_district
executive_department
express
propose
denote",district,"region
regulate","location
body_part
location
indefinite_quantity
knowledge_domain","object
activity
determination
workplace","physical_entity
goal
constituent
content
computer_science
disapprove
be",entity,entity,entity,entity,entity
Sniper_Shoots,news,"information
information
broadcast
information
interest","message
cognition
accusation
collection
information_measure","communication
communication
communicate
communicate
communicate","act
abstraction
connection","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm"
Sniper_Shoots,Nick,"blemish
prison
cut
cut
cut
change
copulate","appearance
mar
dirty
damage","quality
happening
attendance
representation
arrival
pretense","attribute
degree
property
sound_property
social_station","concept
abstraction
evaluate
evaluate",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping"
Sniper_Shoots,Sandman,elf,"fairy
radio_frequency","spiritual_being
gay_man",belief,"content
idea","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity"
Sniper_Shoots,finally,finally,finally,finally,finally,finally,finally,finally,finally,finally,finally,finally,finally,finally,finally,finally
Sniper_Shoots,getting,"act
change_state
make
change
transmit
undergo
get_even
score
seize
change
sicken
communicate
change
mean
understand
attract
hit
get
buy
hear
hurt
leave
catch
annoy
touch
reproduce
effect
destroy
confuse
experience
make","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation
Sniper_Shoots,comeback,"reply
reappearance","statement
speech_act
state","message
evidence
theme
message
speech_act
code
commercial_document","communication
communication
communicate
communicate
communicate","act
abstraction
connection","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document
Sniper_Shoots,rightfully,rightfully,rightfully,rightfully,rightfully,rightfully,rightfully,rightfully,rightfully,rightfully,rightfully,rightfully,rightfully,rightfully,rightfully,rightfully
Sniper_Shoots,deserves,be,"metallic_element
typify
take
stay
be",chemical_element,substance,"matter
part
content
idea
physical_entity
capital
communication
matter","concern
content
physical_entity
trouble
consequence
writing
be","interest
anxiety
sympathy
negative_stimulus
enterprise","curiosity
benefit
power
fixed_charge
share
social_group
diversion
arouse
refer","cognitive_state
object",psychological_state,condition,"state
premise
state
information
good_health
illness
statement
procedure
teach
develop
contract
better
shampoo","administrative_district
attribute
government
political_unit
chemical_phenomenon
emotional_state
administrative_district
executive_department
express
propose
denote",district,"region
regulate"
Sniper_Shoots,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington
Sniper_Shoots,High,"degree
air_mass
elation
elation
topographic_point
secondary_school
gear","property
state
award
angular_unit
exponent
temperature_unit
magnitude","possession
attribute
geographical_area
concept
object","control
relation
enchantment
mania
district
resoluteness
control","power
relation
bodily_process
criterion
activity
condition
discipline
skillfulness
mechanism
spirit
economic_policy
restrain
manipulate
interact
test
see
verify
know","quality
physical_phenomenon
cognition
state
causal_agent
mathematical_notation
strength
state
businessman
provide","attribute
degree
property
sound_property
social_station","concept
abstraction
evaluate
evaluate",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea
Sniper_Shoots,school,"educational_institution
building
education
body
time_period
educational_institution
animal_group
educate
polish
swim",institution,"organization
establishment
custom
beginning
hospital","social_group
structure
body
administration
orderliness
activity
beginning",group,"abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune"
Sniper_Shoots,suing,challenge,"situation
speech_act
questioning
objection
demand
contest
invite
request
object","state
condition
difficulty
position
occupation","administrative_district
attribute
government
political_unit
chemical_phenomenon
emotional_state
administrative_district
executive_department
express
propose
denote",district,"region
regulate","location
body_part
location
indefinite_quantity
knowledge_domain","object
activity
determination
workplace","physical_entity
goal
constituent
content
computer_science
disapprove
be",entity,entity,entity,entity,entity,entity
Sniper_Shoots,media,"instrumentality
environment
communication
food
liquid
substance
substance
state
psychic
transmission
occupation","unit
utility
artifact","definite_quantity
part
organization
whole
thing
object",measure,"maneuver
abstraction
legal_document
activity
system_of_measurement
poetic_rhythm
musical_notation
measuring_instrument
container
decide
carry
be
evaluate","operation
plan_of_action
motion
move
evasion
control
act
move","action
business_activity
activity
data_processing
activity
medical_procedure
work
process
cognition
calculation
activity","act
state
group_action
process
plot
drive
mechanism
proceeding
group_action
work
challenge
complete
effect","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object"
Sniper_Shoots,outlet,"place_of_business
receptacle
opening
activity",establishment,"beginning
organization
body
structure
organization
natural_process
proof","happening
point
part
point
change_of_state
talk
be
be
act
achieve","event
happen
chance
happen","psychological_feature
circumstance
physical_phenomenon
phenomenon",abstraction,"concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea
Sniper_Shoots,leftist,socialist,politician,"leader
leader
schemer","person
feature","causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
Sniper_Shoots,group,"abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea
Sniper_Shoots,celebrity,"important_person
honor",adult,"person
animal","causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
Sniper_Shoots,threatened,"exist
warn
bode",exist,exist,exist,exist,exist,exist,exist,exist,exist,exist,exist,exist,exist,exist
Sniper_Shoots,kid,"juvenile
leather
offspring
goat
gull
tease",person,"causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
Sniper_Shoots,Operation,"action
business_activity
activity
data_processing
activity
medical_procedure
work
process
cognition
calculation
activity","act
state
group_action
process
plot
drive
mechanism
proceeding
group_action
work
challenge
complete
effect","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts
Sniper_Shoots,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive
Sniper_Shoots,success,"happening
attainment
prosperity
person","event
happen
chance
happen","psychological_feature
circumstance
physical_phenomenon
phenomenon",abstraction,"concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping"
Sniper_Shoots,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
Sniper_Shoots,pure,pure,pure,pure,pure,pure,pure,pure,pure,pure,pure,pure,pure,pure,pure,pure
Sniper_Shoots,evil,"transgression
bad
immorality","wrongdoing
geological_phenomenon
action","evil
activity","transgression
bad
immorality","wrongdoing
geological_phenomenon
action","evil
activity","transgression
bad
immorality","wrongdoing
geological_phenomenon
action","evil
activity","transgression
bad
immorality","wrongdoing
geological_phenomenon
action","evil
activity","transgression
bad
immorality","wrongdoing
geological_phenomenon
action","evil
activity"
Sniper_Shoots,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
Sniper_Shoots,DOING,"carry_through
proceed
make
satisfy
create
spend
groom
travel","complete
effect","end
fill
carry_through
play","extremity
point
ending
content
part
state
surface
lineman
boundary
topographic_point
contribution
section
piece_of_cloth
lineman
change
be
destroy","external_body_part
adversity
ultimacy
region
external_body_part",body_part,part,"relation
object
thing
concern
location
duty
portrayal
assets
concept
line
tune
attempt
move
leave
change
move","abstraction
sexual_activity
person
narration
legal_principle
dealings","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet"
Sniper_Shoots,GODS,"spiritual_being
superior
effigy",belief,"content
idea","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune"
Sniper_Shoots,WORK,"activity
product
occupation
learning
energy
geographic_point
end_product
succeed
transform
work
pass
work
go
move
make
use
fix
be
affect
operate
manage
stimulate
capture
create_from_raw_material
move
manipulate
use
understand
convert
change_state
become","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts
Sniper_Shoots,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
Sniper_Shoots,Do,"party
solfa_syllable
doctor's_degree
carry_through
proceed
make
satisfy
create
spend
groom
travel","organization
social_gathering
set
affair
person
celebrate","social_group
structure
body
administration
orderliness
activity
beginning",group,"abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy"
Sniper_Shoots,foot,"vertebrate_foot
linear_unit
bottom
vertebrate_foot
support
organ
walk
secret_agent
army_unit
meter
support
pay
walk
add",extremity,"external_body_part
adversity
ultimacy
region
external_body_part",body_part,part,"relation
object
thing
concern
location
duty
portrayal
assets
concept
line
tune
attempt
move
leave
change
move","abstraction
sexual_activity
person
narration
legal_principle
dealings","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea
Sniper_Shoots,porn,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act"
Sniper_Shoots,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
Sniper_Shoots,WANT,"poverty
need
necessity
desire
be
search
demand
miss",financial_condition,condition,"state
premise
state
information
good_health
illness
statement
procedure
teach
develop
contract
better
shampoo","administrative_district
attribute
government
political_unit
chemical_phenomenon
emotional_state
administrative_district
executive_department
express
propose
denote",district,"region
regulate","location
body_part
location
indefinite_quantity
knowledge_domain","object
activity
determination
workplace","physical_entity
goal
constituent
content
computer_science
disapprove
be",entity,entity,entity,entity,entity
Sniper_Shoots,Sniper,marksman,shot,"propulsion
projectile
maneuver
opportunity
expert
photograph
medical_care
small_indefinite_quantity
remark
estimate
photograph
sports_equipment
charge
blow
attempt
attempt
rocket_firing
injure
kill
fire
record
project
rush
rush
hit
record
emit
ache
insert
weave
throw
consume
score
utter
measure
grow
administer","force
act","influence
physical_phenomenon
intensity
organization
unit
aggression
causal_agent
social_group
validity
putout
compel
cause
move
compel
move
thrust
move
act
penetrate","power
causing
determinant
consequence
power
affect
cause
persuade","quality
physical_phenomenon
cognition
state
causal_agent
mathematical_notation
strength
state
businessman
provide","attribute
degree
property
sound_property
social_station","concept
abstraction
evaluate
evaluate",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity"
Sniper_Shoots,fucking,"sexual_intercourse
copulate",sexual_activity,bodily_process,organic_process,process,"activity
cognition
writ
cognition
body_part
physical_entity
affect
manage
calculate
challenge
walk
transform
deliver","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait"
Sniper_Shoots,blows,"stroke
impact
happening
surprise
wind
cocaine
exhalation
exhale
exhaust
travel
sound
shape
fail
use
spend
sound
sound
stimulate
send
move
spurt
go
lay
unwrap
overstate
rest
fail
burst","maneuver
movement
attack
touch
touch
score
oarsman
happening
punctuation
mark
locomotion
motion
touch
strike
row
flatter","operation
plan_of_action
motion
move
evasion
control
act
move","action
business_activity
activity
data_processing
activity
medical_procedure
work
process
cognition
calculation
activity","act
state
group_action
process
plot
drive
mechanism
proceeding
group_action
work
challenge
complete
effect","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document
Sniper_Shoots,foot,"vertebrate_foot
linear_unit
bottom
vertebrate_foot
support
organ
walk
secret_agent
army_unit
meter
support
pay
walk
add",extremity,"external_body_part
adversity
ultimacy
region
external_body_part",body_part,part,"relation
object
thing
concern
location
duty
portrayal
assets
concept
line
tune
attempt
move
leave
change
move","abstraction
sexual_activity
person
narration
legal_principle
dealings","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea
Sniper_Shoots,porn,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act"
Sniper_Shoots,Request,"message
speech_act
communicate
ask
wonder","communication
communication
communicate
communicate
communicate","act
abstraction
connection","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act"
Sniper_Shoots,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
Sniper_Shoots,reaction,"chemical_process
idea
bodily_process
force
response
conservatism
resistance",natural_process,process,"activity
cognition
writ
cognition
body_part
physical_entity
affect
manage
calculate
challenge
walk
transform
deliver","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document
Sniper_Shoots,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always
Sniper_Shoots,acting,"activity
performing_arts
re-create
serve
act
be
succeed
perform","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts
Sniper_Shoots,person,"causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
Sniper_Shoots,insane,insane,insane,insane,insane,insane,insane,insane,insane,insane,insane,insane,insane,insane,insane,insane
