Screen Name,Word,Hypernim[1],Hypernim[2],Hypernim[3],Hypernim[4],Hypernim[5],Hypernim[6],Hypernim[7],Hypernim[8],Hypernim[9],Hypernim[10],Hypernim[11],Hypernim[12],Hypernim[13],Hypernim[14],Hypernim[15]
aiman_witwicky,Hi,greeting,"acknowledgment
address
communicate
react","acceptance
note
message","attitude
blessing
situation
assent
draft
permissiveness
acquisition","cognition
bodily_property
affectation
orientation",psychological_feature,abstraction,"concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea
aiman_witwicky,secondhand,secondhand,secondhand,secondhand,secondhand,secondhand,secondhand,secondhand,secondhand,secondhand,secondhand,secondhand,secondhand,secondhand,secondhand,secondhand
aiman_witwicky,GB,"organophosphate_nerve_agent
magnetomotive_force_unit
computer_memory_unit
computer_memory_unit
computer_memory_unit",nerve_gas,"agent
poison_gas","causal_agent
representative
causal_agent
substance
businessperson
official
semantic_role",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
aiman_witwicky,luckily,luckily,luckily,luckily,luckily,luckily,luckily,luckily,luckily,luckily,luckily,luckily,luckily,luckily,luckily,luckily
aiman_witwicky,So,solfa_syllable,syllable,language_unit,part,"relation
object
thing
concern
location
duty
portrayal
assets
concept
line
tune
attempt
move
leave
change
move","abstraction
sexual_activity
person
narration
legal_principle
dealings","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune"
aiman_witwicky,Haze,"aerosol
confusion
overcast
harass","cloud
dispenser","physical_phenomenon
atmospheric_phenomenon
unreality
gloom
suspicion
group
darken
hide
billow
affect
mar
change
spot
dull",natural_phenomenon,phenomenon,"process
development","activity
cognition
writ
cognition
body_part
physical_entity
affect
manage
calculate
challenge
walk
transform
deliver","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object"
aiman_witwicky,coming,"motion
arrival
timing
consummation
travel
happen
change
originate
exist
be
run
be
travel
be
result
be
become
arrive
become
proceed
experience
rank","visual_communication
happening
change
state
proposal
change
optical_illusion
communicate",communication,"act
abstraction
connection","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm"
aiman_witwicky,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
aiman_witwicky,Standby,"thing
actor","situation
action
abstraction
artifact
happening
concern
statement
entity
attribute
aim
feeling
physical_entity","state
condition
difficulty
position
occupation","administrative_district
attribute
government
political_unit
chemical_phenomenon
emotional_state
administrative_district
executive_department
express
propose
denote",district,"region
regulate","location
body_part
location
indefinite_quantity
knowledge_domain","object
activity
determination
workplace","physical_entity
goal
constituent
content
computer_science
disapprove
be",entity,entity,entity,entity,entity,entity
aiman_witwicky,Uncle,"kinsman
benefactor",relative,"person
organism","causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
