Screen Name,Word,Hypernim[1],Hypernim[2],Hypernim[3],Hypernim[4],Hypernim[5],Hypernim[6],Hypernim[7],Hypernim[8],Hypernim[9],Hypernim[10],Hypernim[11],Hypernim[12],Hypernim[13],Hypernim[14],Hypernim[15]
bech_normand,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas
bech_normand,Frank,"European
sausage
stamp
excuse",inhabitant,person,"causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
bech_normand,Lee,side,"region
unit
area
surface
surface
aspect
line
lineage
cut
opinion
geological_formation
spin
align","location
body_part
location
indefinite_quantity
knowledge_domain","object
activity
determination
workplace","physical_entity
goal
constituent
content
computer_science
disapprove
be",entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
bech_normand,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson
bech_normand,Tony,Tony,Tony,Tony,Tony,Tony,Tony,Tony,Tony,Tony,Tony,Tony,Tony,Tony,Tony,Tony
bech_normand,Rovers,"traveler
Boy_Scout",person,"causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
bech_normand,Graham,wheat_flour,flour,"foodstuff
dredge
convert","consumer_goods
food",commodity,artifact,whole,"concept
object",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea
bech_normand,Potter,"craftsman
work
busy
move","professional
creator
skilled_worker","adult
athlete
authority","person
animal","causal_agent
organism
human_body
grammatical_category",physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
bech_normand,yo,yo,yo,yo,yo,yo,yo,yo,yo,yo,yo,yo,yo,yo,yo,yo
bech_normand,AFC,AFC,AFC,AFC,AFC,AFC,AFC,AFC,AFC,AFC,AFC,AFC,AFC,AFC,AFC,AFC
bech_normand,qualify,"suffice
pronounce
modify
prepare
contract
remember
add",satisfy,"meet
provide","athletic_contest
provide
match
cope
interact
meet
have
experience",contest,"social_event
competition
oppose",event,"psychological_feature
circumstance
physical_phenomenon
phenomenon",abstraction,"concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet"
bech_normand,fighting,"conflict
contend
try
advertise","group_action
ambivalence
military_action
state
incompatibility
opposition
disagreement
contrast
transgress","act
event","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act",creating_by_mental_acts,creation,"activity
artifact
beginning
beginning
natural_object","act
state
organic_process
capability
process
trait","legal_document
event
dramatic_composition
performance
expression
re-create
serve
act
be
succeed
perform",document,"writing
representation
communication
computer_file
record
confirm","verbal_creation
written_communication
oeuvre
written_communication
written_communication
activity
create_verbally
communicate
create_verbally
correspond
communicate
make
trace
record
create_by_mental_act"
bech_normand,everything,everything,everything,everything,everything,everything,everything,everything,everything,everything,everything,everything,everything,everything,everything,everything
bech_normand,got,"change_state
make
change
transmit
undergo
get_even
score
seize
change
sicken
communicate
change
mean
understand
attract
hit
get
buy
hear
hurt
leave
catch
annoy
touch
reproduce
effect
destroy
confuse
experience
make",change,"happening
relation
action
consequence
cash
thing
clothing
coin
cash
difference
dress
replace
transfer
travel
change
replace","event
happen
chance
happen","psychological_feature
circumstance
physical_phenomenon
phenomenon",abstraction,"concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune"
bech_normand,achieve,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed
bech_normand,objective,"goal
lens","content
end
game_equipment
score","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy"
bech_normand,giving,"sharing
conveyance
disposal
supply
transfer
state
communicate
direct
communicate
make
think
produce
tell
make
pass
utter
release
transfer
use
administer
distribute
communicate
move
provide
give
change
estimate
execute
compensate
show
perform
stretch
toast
accord
express
pledge
submit
lead
permit
inflict
happen
accept
offer","mutuality
mutuality
intercourse
distribution
overlap
use
get
distribute
communicate","reciprocality
reciprocality",relation,"abstraction
sexual_activity
person
narration
legal_principle
dealings","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy","group
publication
request
grouping","abstraction
unit
set
classify
meet","concept
removal
theorization
painting
preoccupation
entity",idea,"content
purpose
opinion
calculation
tune","collection
communication
proportion
volume
cognition
acceptance
thing
limit
satisfy"
bech_normand,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away
